"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237656567042867850","21.76208","21.67443","21.54321","21.34193","20.94378","2.092426"
"1237653010809619123","20.79668","20.75047","20.81794","20.45142","20.06724","1.920103"
"1237656567042933334","21.2318","20.90046","20.72065","20.37769","20.12948","0.7011367"
"1237656567042933328","21.60441","21.71207","21.84827","21.35278","20.81128","1.95148"
"1237657189815223048","22.08127","22.55153","22.25218","22.21409","21.5395","1.390623"
"1237657189815223017","22.15414","22.29679","21.85777","21.70549","21.89249","1.308394"
"1237657189815288645","24.20457","21.84365","21.7362","21.29063","21.00898","2.990448"
"1237666185626059233","20.6511","20.16899","19.566","19.41678","19.25509","1.055571"
"1237663456705184515","22.01801","22.19222","21.74968","21.72697","21.53984","1.252273"
"1237656567042868261","22.50633","22.40455","21.70657","21.8203","21.65695","1.106687"
"1237678880467452650","21.03217","20.78134","20.5896","20.34802","19.84019","0.7963988"
"1237678880467583794","21.30462","20.18234","19.91598","19.87187","19.83724","2.767735"
"1237678881004257844","19.88413","19.78941","19.5006","19.4666","19.43883","1.251142"
"1237678880467517842","19.46328","19.40482","19.36162","19.0444","19.07836","1.906063"
"1237679027571720803","21.31872","20.87741","20.7986","20.62553","20.16665","0.7522482"
"1237678881004389126","21.99817","21.79072","21.46252","20.95669","20.57073","0.8506566"
"1237679027035112154","20.05016","20.27773","19.85545","19.75745","19.80916","1.441703"
"1237679027035177506","21.63393","21.31056","20.99056","20.80706","20.80666","1.489737"
"1237679027035112151","21.14684","20.97714","20.96653","20.72866","20.82042","1.439808"
"1237678881004389000","20.1359","20.19658","19.91234","19.95759","19.95553","1.394649"
"1237679027571720649","21.77958","21.36792","20.85669","20.95754","21.24168","1.173385"
"1237679027571982893","21.2929","21.04812","20.79801","20.52453","20.30348","1.563846"
"1237678881004454618","22.15704","22.0944","21.9837","21.99163","21.20759","2.053031"
"1237656567042736710","22.01256","21.95683","21.58637","21.18357","20.97002","0.8176723"
"1237656567042802357","20.50997","19.9453","19.887","19.72737","19.33141","2.187138"
"1237663456705118980","21.90041","21.77854","21.75009","21.40049","21.46627","2.017397"
"1237657189815091685","21.67654","21.60375","21.46728","21.14662","20.85526","1.796322"
"1237656567042801825","19.72821","19.7056","19.45109","19.41883","19.53346","1.29379"
"1237656567042736799","21.6565","21.26302","21.15002","20.9389","20.8705","1.833883"
"1237657189815156880","22.53947","22.24992","21.56964","21.31616","21.18937","2.692405"
"1237663456705184644","22.4333","21.66877","21.489","21.28359","20.97926","1.449988"
"1237678881004323164","19.36519","18.89116","18.60758","18.31003","18.29391","1.635724"
"1237666185625862915","21.69128","21.31045","21.20616","21.08917","20.93794","0.768859"
"1237678880467452606","21.53275","21.19614","20.98746","20.89499","20.76694","2.226519"
"1237663543150379718","23.2704","22.7342","22.43414","22.67052","21.2758","0.4543978"
"1237663543150313508","18.58561","18.36114","18.25372","18.07664","18.06001","1.497804"
"1237663543150248684","23.52112","22.86879","21.77946","21.13726","20.63768","0.4958561"
"1237663543687185236","25.38221","23.95176","22.67357","22.96753","23.84632","1.576605"
"1237663480335434234","25.80881","22.63094","21.9704","21.51386","20.99073","0.9686115"
"1237663478724690316","19.83161","19.63618","19.31522","19.24598","19.18995","1.299355"
"1237663543150248049","23.96972","19.30951","18.54316","18.3724","18.25992","3.489991"
"1237663543687118988","24.98606","19.64224","18.71605","18.63223","18.5582","3.449633"
