"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237648720706404610","25.54217","22.45241","20.71709","18.10061","16.58961","-1.658796E-05"
"1237648703514280167","20.95054","18.25921","16.60979","16.08677","15.81086","0.0003178438"
"1237648704051281934","18.61887","17.66458","17.35265","17.22541","17.19544","-4.045782E-05"
"1237648704051216386","17.12356","15.89173","16.05015","16.18847","16.27298","-0.0001280625"
"1237651504345710638","19.21556","18.23528","18.1175","18.0548","18.17689","-0.0001108795"
"1237674601603792933","16.77893","16.34833","16.53637","16.7187","16.95675","1.043275E-05"
"1237674601603858465","19.01135","17.71882","17.22253","17.00442","16.89698","-0.000214612"
"1237674601603858587","20.05704","18.98308","18.98017","19.03198","19.10094","-0.0003354948"
"1237648722316951613","17.68811","16.41673","16.40149","16.43703","16.47826","0.0005294185"
"1237651224635441509","19.42646","18.03448","17.4212","17.23655","17.14903","-0.0004121205"
"1237651211213799473","19.55641","16.92264","15.70509","14.98715","14.55627","1.987592E-05"
"1237651225172115518","16.82211","15.79574","15.39437","15.22873","15.16315","-0.0005450103"
"1237651211750736033","19.54776","27.75172","17.26072","15.72419","15.83493","-8.280328E-05"
"1237651212287410351","19.18276","17.94336","17.41386","17.19751","17.12987","-7.995129E-05"
"1237651212287279179","17.15598","16.04664","15.91026","15.91429","15.93358","-0.0003495017"
"1237651212287476153","20.34104","17.9366","16.78007","16.34858","16.08586","-8.048856E-07"
"1237651212287541334","24.51686","23.54197","21.74804","20.50286","19.85046","-0.000577545"
"1237651225172443367","18.2978","16.64903","15.97875","15.73619","15.62496","-0.0001395083"
"1237651225172508766","22.22357","20.1678","19.04315","18.61927","18.41261","-0.0002106005"
"1237651212824150224","19.2481","18.32942","17.93731","17.77318","17.762","-0.0003337667"
"1237651212824346674","20.47178","18.63024","17.81468","17.82388","17.68338","-7.502858E-05"
"1237651212824215604","18.97197","16.98704","16.09732","15.70758","15.54718","-0.0001106037"
"1237651225172509154","24.91372","22.00365","20.73156","19.65917","19.25824","-6.365657E-05"
"1237651225172574988","24.09639","21.90988","20.92756","19.69656","19.02115","-0.0001028877"
"1237666407922663601","19.73079","19.25987","19.30649","19.41977","19.62868","0.0001504982"
"1237663783140458773","18.38033","16.59847","16.1341","16.14565","15.76963","0.004153254"
"1237663783677461599","24.12547","24.64976","22.82502","20.01889","18.31005","-5.762242E-05"
"1237651252021297216","19.37803","18.24698","17.91816","17.76456","17.7649","-8.748836E-05"
"1237651533334249618","21.61392","19.16247","17.6997","16.64334","16.0328","-9.436472E-05"
"1237651252557971682","18.80648","17.06573","16.33289","15.97931","15.72347","6.297416E-05"
"1237651271885914323","19.36928","18.27114","17.8964","17.74891","17.6868","-9.800248E-05"
"1237651495223951543","19.0532","16.56047","15.45184","14.97879","14.82943","-5.217913E-05"
"1237651271886241822","18.83266","17.70882","17.35134","17.22608","17.2091","6.832003E-05"
"1237651271904198667","17.29535","16.06901","15.85902","15.76887","15.76853","-0.0003875304"
"1237651271903871059","17.95557","17.02448","16.65387","16.51386","16.47416","-0.0003734181"
"1237651538178670689","18.74775","17.52313","17.03533","16.84402","16.75975","-0.0006286321"
"1237651271367131376","20.37515","19.95105","20.17978","20.29593","20.6263","-0.0005816134"
"1237651538178539569","18.3629","17.20604","17.13596","17.15171","17.22922","-0.000211428"
"1237651540326285681","25.01122","22.92819","20.97518","19.00499","17.93028","-1.066151E-05"
"1237651539789152510","25.06536","20.78041","19.21406","17.28954","16.26069","-5.915443E-05"
"1237651539252347245","24.37047","23.08297","21.32293","19.17314","17.97051","-8.441111E-05"
"1237651538715344943","18.68632","18.16647","18.37249","18.42919","18.17347","-7.631983E-05"
"1237651273514221877","20.55638","20.22033","20.29777","20.65572","20.64301","-0.0005996474"
"1237651538715344911","18.91647","18.00874","17.71537","17.62387","17.57339","-0.001422852"
"1237654390032892003","17.20348","16.10642","15.73863","15.59575","15.56294","0.0001834229"
"1237654390032957459","18.38797","17.09891","16.62963","16.46119","17.53485","-0.0001066564"
"1237653588484882444","17.197","16.19318","15.88597","15.76235","15.73153","-2.494311E-05"
"1237653588484882697","19.38112","18.32327","17.90496","17.71298","17.67487","-0.0001474147"
"1237654390569763225","20.91157","20.41234","20.55112","20.68153","20.53455","0.0004116716"
"1237654391106699946","24.16506","21.76953","20.65277","20.26863","20.37272","0.0002021516"
"1237651190282060442","24.86972","22.71758","21.15114","19.19786","18.09394","5.777575E-05"
"1237651250409898037","18.21814","16.96774","16.67636","16.6053","16.60762","-4.537785E-05"
"1237651190282190995","20.4482","19.96166","20.10201","20.26705","20.76339","0.0002494108"
"1237651250410160958","24.75895","23.32224","21.28493","19.49673","18.47206","-0.0001922663"
"1237651250409701861","22.77524","20.03417","18.84168","18.46072","18.25145","1.354607E-05"
"1237654392180965719","20.66787","20.55653","20.38652","19.57783","19.05213","-0.0001941803"
"1237651190281798055","22.50027","20.12835","19.20978","18.87961","18.66617","-0.000277876"
"1237651190281797867","19.58388","17.39158","16.50745","16.21507","16.05365","4.521615E-05"
"1237654392180572383","20.39383","19.2802","19.0829","19.00696","18.99618","-3.277446E-05"
"1237651190281798107","23.34768","22.51855","21.08792","19.04788","17.99901","5.776149E-06"
"1237654392180768958","20.4684","20.06628","20.05651","20.05153","20.05419","-0.0008675595"
"1237654392180703953","24.7224","22.87844","21.26948","19.4845","18.44812","-0.0002895072"
"1237654383585067231","19.07269","17.46644","16.63811","16.26097","16.04512","-6.470738E-05"
"1237654874824769573","18.36739","17.17429","16.69499","16.51596","16.40781","-0.0007742933"
"1237654398620336253","19.41534","18.67412","17.98649","17.57939","17.29842","-0.0001816452"
"1237654874824507431","18.47333","17.38455","17.00337","16.88369","16.82343","-0.0002979138"
"1237654874824507551","24.23153","20.76976","19.21392","18.71494","18.51884","-0.0007585495"
"1237654398620139593","18.59986","17.3767","17.33322","17.38288","17.45259","2.444242E-05"
"1237651067354153089","21.40155","18.78654","17.69268","17.29782","17.0623","-9.114954E-05"
"1237654610679693331","19.24593","18.03841","17.58257","17.41604","17.34794","-0.0002588889"
"1237651066280214560","18.51325","17.44279","16.99353","16.79594","16.71326","-0.0009075888"
"1237651067354284193","17.32013","16.47017","16.1445","16.02696","15.99944","0.000126002"
"1237654610679759022","20.29019","18.46502","17.74727","17.47995","17.342","-1.038659E-05"
"1237652947989102724","19.33742","18.86477","18.8384","18.90346","19.03984","-7.150909E-05"
"1237652949062910041","20.54186","19.2142","19.16736","19.22644","19.28786","-0.0005115303"
"1237652948525842569","18.65574","17.56517","17.18996","17.05001","17.00542","-7.078934E-05"
"1237652901285331074","19.70538","18.46505","17.98106","17.79729","17.69526","6.94366E-05"
"1237652947989299306","19.28556","18.2196","17.79879","17.63906","17.5538","-4.691157E-05"
"1237652901822398563","20.02009","18.26907","17.63371","17.43927","17.67302","-0.004019502"
"1237652946916605955","18.7246","18.27738","18.38479","18.47462","18.7425","-5.503089E-05"
"1237672793425379371","18.40611","17.50539","17.20053","17.09144","17.0559","-0.0002045021"
"1237648721755177052","21.89445","19.80111","18.1075","17.5056","17.14044","-3.243158E-05"
"1237651801234800708","21.64637","18.77251","17.2866","16.22622","16.42473","-0.0001545064"
"1237648722291785790","19.98023","19.01503","18.49778","18.57577","18.49931","0.0004850904"
"1237648722291851712","23.53773","21.70916","19.97484","19.41985","19.22782","0.0008911824"
"1237651801771737302","19.32804","18.35988","18.07969","17.99073","17.99451","0.0005617921"
"1237648722322980967","17.92701","16.83425","16.4437","16.30341","16.26301","0.0001205319"
"1237655693551992921","24.63464","20.25043","18.94418","17.08384","16.62059","-7.196792E-05"
"1237648703521554443","18.34138","18.38044","18.66985","18.91562","19.13387","3.8706E-05"
"1237648703521292624","19.30395","18.21375","17.79748","17.63016","17.56896","-3.864942E-05"
"1237648704058425563","20.98137","18.75268","17.78893","17.43885","17.21639","-5.44861E-05"
"1237655693551730771","18.99049","17.7628","17.32509","17.16847","17.11466","-0.0003891449"
"1237678881544536387","20.76645","19.81904","19.36819","19.18954","19.14529","-0.0009604168"
"1237656567046209899","20.45291","19.3532","19.17526","19.11799","19.14546","-0.0005731953"
"1237663542609379699","22.52292","20.4587","19.21121","18.71892","18.39954","2.411103E-05"
"1237656568119951635","19.39523","19.38799","19.61902","19.84811","20.07923","-0.0001083653"
"1237656567046079383","25.28304","21.94227","20.49424","19.19398","18.47517","-8.479429E-05"
"1237656567582949658","21.2505","19.83941","19.28587","19.05193","18.93572","-0.0003261148"
"1237663542609248642","22.23267","20.51571","19.04351","18.21091","17.72853","3.572874E-05"
"1237656568119885860","24.34438","21.15556","19.6397","18.7252","18.33291","-0.0002613485"
"1237663542609248538","20.40821","19.23417","19.23573","19.23245","19.22142","-1.189947E-05"
"1237656567045947431","17.83184","16.62673","16.77466","16.879","16.94925","-0.0007975551"
"1237656567045947920","21.64488","20.19678","19.43455","19.11647","18.95737","-0.0001277916"
"1237657189818237246","20.93156","18.20267","16.89458","16.36361","16.05744","-9.437336E-05"
"1237663542609183043","24.8257","22.14904","20.60737","18.99945","18.14747","-0.0001055595"
"1237656568119820457","22.86096","19.84784","18.72763","18.32932","18.16941","-0.0001490126"
"1237656568119755141","24.56786","22.13342","20.63255","19.20584","18.53447","-0.0001072264"
"1237656567582818362","16.49785","15.26293","15.24088","15.27186","15.34282","-0.0003951406"
"1237656568119689576","19.31427","18.20885","18.14881","18.36676","18.27321","-7.03553E-05"
"1237663542609117540","20.3599","19.07688","18.75423","18.66419","18.70293","-0.0003817025"
"1237663542609117340","18.37143","17.39637","17.02936","16.86739","16.82667","-0.0001845302"
"1237663542608986455","19.2949","17.93347","17.93272","17.96279","17.96815","-0.0003809232"
"1237663542608986317","20.0347","18.92638","18.83227","18.86156","18.83447","-0.0005055092"
"1237663784218132546","22.36989","19.52949","18.08038","17.00454","16.42471","0.0001653947"
"1237652900766744757","20.76964","19.62171","19.27013","19.16805","19.25688","-0.0003087413"
"1237679338961961129","20.42115","19.89717","19.99036","20.03218","20.46846","-9.030109E-05"
"1237653472517882076","20.6074","20.3026","20.47809","20.61279","20.9938","-0.0001400885"
"1237652901840879699","18.95383","17.75899","17.92757","18.06271","18.10958","-0.0003528399"
"1237652901303681269","20.84705","20.43873","20.618","21.00136","20.90039","-0.0003904421"
"1237653471980814520","24.39342","22.00378","20.25039","18.11674","16.95824","0.0001229132"
"1237652901303877703","20.5517","19.39162","19.13899","19.05345","19.11242","0.0004138722"
"1237649962989387933","23.73928","21.84306","20.34451","18.47634","17.32678","-8.604243E-06"
